Consumer complaint narrative,Product_clean
"I have attempted several times throughout the years to, communicate with the non-va medical facilities, that I 'm a XXXX vet and there is a department in the XXXX XXXX va facility in XXXX XXXX Michigan called the department of veteran affairs XXXX XXXX XXXX XXXX XXXX Michigan XXXX phone number XXXX, I spoke with XXXX today XX/XX/XXXX and he informed me that they never received any bills from this debt. Merchants and medical XXXX flint Michigan XXXX in regards to a visit that I made dated XX/XX/XXXX account number XXXX, this item ended up on my credit report, these are the types of issues that our American veterans have to combat in order to try to even maintain some sort of normal life, no one takes the time to go thru the proper procedure to make our life more easier when trying to navigate thru these non-va facilities. im faxing you the debt on my credit report and my va status. I would appreciate it if these debt collectors would contact the proper departments you make it difficult for a lot of veterans by not simply making one phone call. Remove this from my credit. 
XXXX XXXX",Debt collection
"I paid {$6000.00} to XXXX XXXX XXXX XXXX XXXX to repair my car on X/XX/2017. using my Discover Credit card check ( # XXXX ), Two weeks before i went to go pick up my car, I told the owner i will be coming to get my car and he said okay. When the time came, he did n't pick up his phone after I tried calling him many times and when i went to his shop, it was closed. Later, I found out the owner of this place shut down the shop. I was able to retrieve my car from the towing company and found out my car was never repaired. I filed a dispute with Discover Credit card company in the amount of {$6000.00} ( claim # XXXX ) in regards to the mechanic not repairing my car. However, the Account manager refused this dispute because they stated it was a balance transfer so it does not qualify for a dispute.",Credit / Prepaid card
"I recently attempted to purchase an item on eBay. I tried to pay for the item using my PayPal Smart Connect which had a credit line much higher than what I was purchasing. PayPal would not allow me to pay because as I discovered in a later phone conversation with PayPal, the seller was not set up to accept PayPal Smart Connect. 

In discussions with both eBay and PayPal I was told they could not identify which sellers accept PayPal Smart Connect. In other words a buyer can not find this out until they are at the checkout and have already won the auction. The sellers also appear unable to tell if they can accept PayPal Smart Connect. ( I 've personally surveyed over XXXX so far ). 

I supposedly have a credit line of over {$1700.00} which PayPal supposedly wants me to use. What good is a credit line if I ca n't use it? I feel this at the least an unfair way of denying me a loan or deceptive practice and at worst fraudulent. None of PayPal 's Credit representatives could give me a straight answer and eBay ca n't help either. Meanwhile I 've been humiliated and a seller will needlessly have to re-list the item.",Other
I have a judgment on my credit report that was not file properly after I paid off the judgment. The proper actions were not taken after I paid off the judgment. Even though my land lord gave a written statement that the judgment was paid. Please look into Equifax procedure of removing satisfied judgments,Credit reporting
"This is in reference to CFPB Complaint # XXXX I received a response from American Express that did not answer my questions and concerns. 

1. Even though I am responsible for all the charges on my closed corporate account - it was closed in XX/XX/XXXX, American Express failed to send me any outstanding bills to my email or to my address after XX/XX/XXXX. In response to my last CFPB complaint against American Express ( XX/XX/XXXX - see referenced CFPB complaint ID ), they provided me with all of the bills from XX/XX/XXXX and forward. I can say with 100 % certainty that these bills never arrived at my home and I was never notified appropriately via email. Needless to say, I had to find out the hard way in XX/XX/XXXX that I incurred over {$200.00} in fees. 

If I would've been properly received a bill with the first late fee, I would've paid off the balance in full avoiding this entire situation. I was making payments over the course of the year against the {$320.00} ( which was part of the {$1300.00} charge ). American Express was disputing the entire charge as part of a long term claim that in an effort to have the moving company make the {$320.00} adjustment ). I made several calls to American Express about the issue, however, in order to receive my belongings from the movers that were moving me across country, I was forced to sign on the invoice authorizing the AMEX transaction or they would not hand over my items. The moving company used that to their advantage to show that the transaction was legitimate, even though they were honestly taking advantage of me. I told AMEX that I made several attempts to negotiate and file a claim with the movers but they were uncooperative. 

If I would've received a bill to my address on the statement after XX/XX/XXXX, noting any late fees incurred, I would've paid off the disputed amount in full a long time ago. Also I wasn't notified as to when the disputed charges of {$320.00} were to be paid back to American Express in full by the specified date on the statements provided to me in XX/XX/XXXX. 

Instead of handling this appropriately by reaching out to me via email or mail with a statement, American Express decided to send me to collections over a year and a half later over these late fees I never knew about. American Express told me in their response to my last CFPB complaint, that my corporate card agreement stipulates the late fees, however, I was not notified until now ( after being sent to collections ). 

I reached out to XXXX XXXX XXXX asking them why I wasn't notified about this outstanding balance/payments and they told me that I needed to handle this directly with American Express and not them. How am I to know of what I owe if no one proactively took the effort to reach out to me with a statement or email notification between XX/XX/XXXX to current? 

The balance was paid back in full after the collections agency ( XXXX XXXX XXXX XXXX ) inappropriately handled my account - a CFPB complaint was filed against them for this issue as well and for the violation of my privacy rights. - 2. Issue regarding the disclosure of my privacy information : Your response to my initial complaint doesn't suffice. Nowhere in the cardholder agreement does it explicitly say that you can disclose my sensitive personal banking information ( my checking account and routing numbers ) to a third party collections agency - XXXX XXXX XXXX XXXX. After my CFPB Complaint to them, they confirmed that American Express ( their client )  transferred over my sensitive bank account and routing number information to them in a confidential manner. Being that this is my sensitive personal data, American Express had to notify me before doing such transfer of personal data. You never received explicit consent from me stating that you could do such transfer. You had no right to give XXXX XXXX XXXX XXXX my sensitive and confidential personal information. The corporate card holder agreement at the time my account was open does not explicitly disclose these types of terms.",Debt collection
"Date for last statement is XX/XX/18 and my statement includes principal {$25.00}, interest {$66.00}, escrow {$56.00} which equals only {$140.00} but then ocwen loan serving, LLC adds an additional {$13.00} charge for optional products, which brings my total payment to {$160.00}. I never signed up for this optional product and want it removed immediately. My monthly bill should be only {$140.00}. I wrote ocwen loan serving LLC a letter, saying I never signed up for this optional product ( XXXX   XXXX ) and want it removed from my account ASAP.",Mortgage
I bought a reloadit pack from Blackhawk network. I am trying to add {$500.00} from their website to XXXX of my netspend cards and both cards are coming up restricted on their end. I have a total of {$1500.00} worth of reloadit cards that I need to use to put money on my netspend card. Both companies are saying it 's the other. I just need this figures out I leave for a vacation at the end of the week.,Other
"Experian continues to list items on my credit report that have reached its Credit reporting statute of limitations of 7 years. I have filed multiple disputes to have these removed from the credit report, and they keep refusing to remove them stating that they have already investigated and will not conduct a new investigation. The other XXXX credit reporting agencies, XXXX and XXXX have removed these negative items, but Experian will not. Here is a list of negative items being reported by Experian that have reached the statute of limitations for reporting : XXXX XXXX Account Number XXXX XXXX XXXX XXXX Account Number XXXX XXXX XXXX XXXX Account Number XXXX I would really like them to follow up with a proper investigation and remove these items, which should no longer appear on my credit report as the other XXXX credit reporting agencies have done",Credit reporting
"I am finalizing a mortgage refinance and have been keeping a close eye on my report. I noticed a hard pull on my report from  XXXX   XXXX ,   XXXX  . My broker said this is generally a soft pull done right before closing to ensure no additional lines of credit have been taken out. In this case, it is reported as an additional hard pull and effecting the score.",Credit reporting
"XXXX/XXXX/2015 I checked my Experian credit report because I was concerned the XXXX hack might have affected me. I found Experian had added another social security number, another address, and XXXX variations of my name = all wrong. After a lengthy telephone call, Experian agreed to remove the errors. My recommendation to you is that before any credit bureau adds a new social security number, new address, changes the name, they should be required to verify such changes with the person on file ; now they do not. thank you XXXX",Credit reporting
"I somehow got lucky and was able to file a dispute on line at Equifax, but that has been the one and only time I have been able to get through. Since the initial filing and creating username and password I have not been able to access thier website, re wives page information provided does not match records, same thing happens when actually call and talk to representative, they tell me same exact thing. Constantly told they are having issues with web site but representative has same wrong information. How can this be a company in charge of our information and reporting if they can't get thier own company to work correctly",Credit reporting
"Several years ago, we were granted a loan mod by Bayview Loan, who are servicing our XXXX XXXX XXXX mortgage. There have been no issues inasmuch as we have never missed or been late with a payment. But suddenly, in true form, theyve decided that our loan mod is no longer viable! No reason! If you check your database, youll see that I started reporting my findings about XXXX many years ago, and my findings were accurate inasmuch as the CFPB fined them. ( For which Ive received no restitution from their fine. ) Now Im dealing with Bayview, and here we go with their shenanigans. HELP!",Mortgage
"To Whom It May Concern ; I am writing you to lodge a formal complaint against LVNV Funding LLC . Over the past year I have spoken to several lawyers and members from XXXX ( XXXX XXXX XXXX XXXX XXXX XXXX ) who pointed out several issues that appear on my credit report. To date, LVNV Funding has reported derogatory remarks with all three credit reporting agencies ( XXXX, XXXX and XXXX ) without proper notification. 
Please note the following case : XXXX XXXX XXXX, XXXX XXXX XXXX XXXX, Case No. XXXX ( XXXX ) UNITED STATES DISTRICT COURT, DISTRICT OF MINNESOTAConsistent with the views of the FTC -- and consistent with the views expressed in XXXX, XXXX, and XXXX -- the XXXX finds that XXXX was engaged in "" collection of the debt '' in violation of XXXX ( when it reported XXXX 's disputed debt to the CRAs before sending verification of that debt to XXXX. The Court therefore agrees with Judge XXXX that XXXX is entitled to summary judgment as to liability on his FDCPA claim. 

No debt collector is required to report a debt to a CRA before verifying that debt to a consumer -- and thus, as the Court held above, it is reasonable to view such a practice as a species of debt collection prohibited under XXXX ( XXXX, XXXX 's XXXX-based employees violated the FDCPA when they reported that debt to the CRAs before first verifying the debt to XXXX. 

XXXX v. XXXX XXXX XXXX, XX/XX/XXXX XXXX XXXX, XXXX ( XXXX. XXXX XXXX XXXX, XX/XX/XXXX ) ; see also XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX. XXXX XXXX, XXXX ( XXXX. XXXX XX/XX/XXXX ) This case specifies that the consumer must have the debt verified by dunning letter or communication prior to reporting to the credit reporting agencies. I was never notified via dunning letter or any other form of communication by LVNV Funding of any debt. Therefor LVNV is in violation of the above statue. Furthermore, I would like for your agency investigate the following circumstances into the account in this matter:1. LVNV Funding is listed on XXXX as a Factoring Company, when per FCRA collection companies are not. 

XXXX XXXX XXXX XXXX XXXX, XXXX, a XX/XX/XXXX decision by the United States Court of Appeals for the XXXX XXXX which re-characterized a factoring transaction as a secured borrowing rather than a "" true sale '' of accounts. 

In the XXXX case the court stated "" the so-called factoring agreement is the functional equivalent of a secured lending agreement. '' Whether the agreement is a secured loan or a true purchase of receivables turns on whether there was an actual transfer of the risk of loss. A transfer of risk occurs when the account seller 's debt is extinguished, and the account purchaser 's "" risk with regard to the performance of the accounts is direct. '' The court in XXXX explained that the parties had "" confected '' a secured loan or revolving line of credit, rather than a true sale of assets, through a percentage advance subject to the lender maintaining a reserve in any amount the lender deemed appropriate. 

2. LVNV Funding is adding on varying fees to the balances on each report per month sometimes {$3.00}, sometimes {$11.00}, sometimes $ XXXX the past 6.5 years. There is no basis for these add on fees or was I given any detail on these so called interest charges. I would like to see the authorized agreement creating the debt or a copy of the original card agreement to prove collecting the interest is permitted. 
( I have documents as proof ) I am requesting your agency look into these allegations and assist me in having these erroneous illegal marks removed from all XXXX CRAs a deletion from all three credit reporting agencies. I felt compelled to urge your office to help me in my crusade to remove LVNV Funding and reestablish my credit and protect low income minority families that ca n't afford to fight these types of collection agencies.",Debt collection
"I have a home equity line of credit with Citibank that has principal and interest in the monthly payment. This account is current. Last month, there was a system error showing an overstated principal amount. I contacted Citibank on XXXX XXXX, XXXX regarding this matter and spoke with a supervisor, XXXX, who agreed there was an error and told me it would be resolved the next day. 
I called two days later and the error was corrected but upon checking one week later, the error was back in the system. I then spoke to a manager, XXXX, ID XXXX, on XXXX XXXX, XXXX, who said they were still working on the issue. I was told the issue would self correct in the following month. 
This is not an acceptable business practice. The error was then corrected in the system when I checked on XXXX XXXX. 
On XXXX XXXX, XXXX, I checked the system and the principal balance amount is again incorrect. Also, same day, XXXX XXXX, XXXX, I received a notice from Citibank dated XXXX XXXX, XXXX that my account is in default and that there will be a property inspection scheduled that I will be billed for as a delinquency expense. 
My account is current and paid. I am appealing to the CFPB to contact Citibank and have this matter rectified.",Mortgage
"I have repeated asked Central Financial since XXXX of XXXX to provide verification of debt for {$100.00} that they are continuing to renew on my credit. Every 6 months, they are repeated renewing the collections of {$100.00} as if it is a brand new debt. According to their records and all the information they can provide me is that they acquired the debt from XXXX XXXX in XXXX. In fact, this should have NEVER been on my credit since I have insurance and have double coverage. My normal out of pocket is always {$0.00}. Why is it showing on my credit as if it was filed in XXXX of XXXX?????",Debt collection
"I received a summons from XXXX the attorney for Express Recovery Services in regards to an outstanding medical debt of {$77.00}. The summons stated that with collection and attorney fees, I owed {$350.00}. When I called the office of XXXX today, XX/XX/2017, to discuss settling the matter prior to judgment, I was told by XXXX that to halt the judgment the full balance had to be paid today. The amount XXXX said had to be paid to halt the judgment was over {$400.00}. I was driving at the time so was unable to write down the exact amount but the amount he said would be required to halt the judgment was well over the amount listed in the summons. I stated that amount was more than 4 times the amount of the outstanding medical debt. I asked if the amount could be settled on and was told no. XXXX also stated that payment had to be made today to halt judgment. I stated that I would n't be able to remit payment until the XXXX and XXXX told me that if payment was n't made today the judgment would be submitted. I again stated that I would n't be able to remit payment for 2 weeks, and asked if he was unable to accept the arrangement if that was n't someone there who could. I was placed on hold and when XXXX returned he stated that he could n't accept an arrangement because I 'd refused information on the call. When I stated that I had n't refused to provide anything I 'd simply stated what my intention of calling was when he 'd answered the call 5 minutes prior. I stated that if he 's telling me that I ca n't work out a payment arrangement because of a question he 'd asked over 5 minutes ago that seemed pretty catty. I told him that if additional information is required to work out an arrangement is required, then I can simply provide that information. XXXX stated that this call was n't going anywhere and disconnected the call. I called back and asked to speak to someone else where I was transferred to someone 's voicemail, and have yet to receive a returned phone call. The amount that XXXX demanded to halt legal action was inconsistent with the amount listed on the summons and legal action was threatened if that amount was n't paid in full today. This is deceptive and abusive.",Debt collection
"My husband and I started the loan application process with USAA in XX/XX/XXXX for a purchase while he was on leave. We are going for a VA Loan and my husband is currently XXXX in XXXX State while I reside in XXXX and am taking care of all the purchase items. I am a real estate attorney and have worked previously at both a title company and mortgage company as In House Counsel and understand how the process works and what the regulations require. At the start of the process I had uploaded all of the standard required documents to the borrower portal on "" my side '' of the portal. I then had a conversation with the loan processor that I will be handling everything on the file, both as the borrower and attorney, that my husband was away on active duty and had little communication and I had the power of attorney, my husband had also contacted the loan officer before returning from leave that she was to speak with me and that I would be uploading all the documents to USAA. Then we are told after a week goes by and I have still not received my initial disclosures ( come to find out these had been sent to a wrong address without a signature required with my Personal Private Information enclosed ) that my files was in suspense and would be terminated for failure to give required documentation. After several calls an emails, the loan officer called my husband who is on a ship out at sea, over me, and then returned an email stating that they called my husband after I was the one communicating with them and this was explained to them and they were in possession of the documents they were just looking on the wrong side. 
After explaining to the LO and several angry emails I finally got her to call me. We smoothed things over and the file started to go smoothly. Until the end when we were scheduling the closing, the appraisal was a week and a half late after the appraisal came into USAA, mind you I needed to know what was in the appraisal to get the seller to do the fixes on the property, which caused a bottle neck as the seller had to give up his XXXX weekend to take down a barn to get the appraiser back out to the property on Monday so we could close the following Monday. The appraiser came out Tuesday further delaying the file, and when the results came back that the changes were ok, the file which I had been told several times starting on XXXX XXXX was complete and nothing more was needed, with the exception of the "" XXXX and XXXX '' statement on the day of closing, was moved into final approval. At this time the Closing should have been scheduled for XXXX XXXX XXXX. Then I recieve an email from an associate of the LO that the closing was put in for the XXXX by the LO because the contract extension said the XXXX. There were countless emails and calls both by myself and our agent stating that the closing should be the XXXX and the XXXX was a contingency date in case something went wrong. Now I am told the XXXX will be the date, and have to fight to get a rush closing, I finally think that we are all set with the XXXX as the closing date only to get an email that USAA never got my VOE for my prior employer, and they wanted a revised termite inspection because termite remediation was waived because it was not active,. I call my prior employer to whom I was In House Counsel and know the HR Department well to find out that USAA never called them even though at the start of this process I wrote a letter of explanation regarding the HR departments as my prior employer is a subsidiary of another and you have to contact the subsidiary not the parent for the VOE. They failed to follow this and contacted the parent only yesterday. I have had it at this point it is costing me money in rent, storage space, and causing issues with my job. There have been countless regulatory ECOA, TILA, RESPA violations on this which I have let g",Mortgage
"I have not authorized  Ally Financial to make any inquiry into my credit report. At the times of the inquiries, I had a fraud alert on my report that ask for any company seeking access to my credit file to contact me personally. I called Ally Financial o n  XXXX  after reviewing my credit report from   XXXX   and was informed that they will not remove the inquiries. When explaining the issue to them, they refused. They are in violation.   XXXX   has informed that they will remove the inquiries if the company approves.     I would like for them to remove all inquiries that they have done into my Credit file and follow the law correctly.      XXXX / XXXX /  XXXX    XXXX / XXXX /  XXXX    XXXX / XXXX /  XXXX    XXXX / XXXX /  XXXX",Credit reporting
"Wells Fargo has reported that they have suspended foreclosure process due to an active bankruptcy case but they have filed a hearing with XXXX XXXX Bankruptcy court to lift automatic stay so they can proceed with foreclosure of my home. Wells Fargo continues to violate local, state and federal laws in their pursuit of illegal foreclosure of homes. The attached documents will prove Wells Fargo is dual tracking for purpose of illegal foreclosure during active Chapter XXXX case.",Mortgage
"The last year 2017, my car was stolen in which my wallet was inside containing most of my personal information such as drivers license, social security number, and other sensitive info. I didn't think much of it seeing that I reported the incident but later on I would notice some weird changes. I started noticing new accounts appear in my debt collections that I had no knowledge of.",Debt collection
"Hi my name is XXXX XXXX I took a loan at consumer financial services in XXXX  illinois. 
I took out a loan for XXXX dollars I got qualified for it. But on top of that loan they gave me a temporary insurance that in the first place din not wanted. It was a XXXX and it could be removed if you had fax the yellow paper and I did at an a excurrency exchange name pls and they said it was successfully complete and sent. But it did n't not I notice very month as I would always ask the rep at the service desk if they have gave me the credit or waver but they never did. Today I went inside the consumer financial services loan store and spoke to a lady that was very rude and as I was speaking I told her that this has been going on for so long and that I really wanted to get things settled. She refuse to give me a letter that the insurance told me they need a written request from them in order to removed it. I understand there are rules bit I did followed everything they told me. 
Now I just feel like I would never ever get a loan there anymore. 

Why would they add an insurance for a loan that 's so not good. 

I want XXXX to understand that I 'm not made of money and that I have always completed my payments yes maybe sometime I forgot but still paid the late fee.",Other
"I recently learned that a fraudulent account in the amount of {$500.00} was opened in my name via Speed Cash 's online process. 

Speedy Cash seems to have no issues providing cash to a fraudulently opened accounts but when it comes to answer question posed by fraud victims they and their compliance staff can not be located or wo n't answer. 

Speedy Cash 's business model, which loosely verifies identities via its online application process is an inherent danger to the general public. Their processes puts the onus on the fraud victim to show that the account opened was not theirs. Why should the general public have to spend their time getting police reports to satisfy the fact that the company has inappropriate policies and procedures to protect the public from fraudulent accounts? 

I have tried to contact the Firm 's compliance officer, chief compliance officer and public relations officer and apparently they are not willing to discuss their process with consumers and have failed to return my email. Further, I have requested to speak directly with their compliance officer but was told by customer service that their compliance officer does n't speak to consumers. As a compliance officer myself, in a different industry, I never hesitate to pick up the phone and explain policies and procedures and in general educate consumers whenever possible. Clearly their Firm 's view on compliance is narrow and in effective. 

Please take a look at this firm and ensure their policies and procedures develop significant safeguard to protect the general public from accounts fraudulently created in their name.",Debt collection
Submitted disputes XX/XX/XXXX and XX/XX/XXXX to XXXX and Equifax that information regarding a bankruptcy they were listing is inaccurate. Each time they responded they had verified the listing. I asked for their procedure they used to verify bankruptcy I never recieved it.,Credit reporting
"Good Afternoon, On XX/XX/XXXX I spoke to an Equifax representative via phone and explained that there were several unrecognizable inquiries on my credit report and needed to discuss getting them removed. The representative was very rude and refused to help. <P/>On XX/XX/XXXX I decided to fax a letter to Equifax in regards to inquires on my credit report that are unrecognizable. Equifax sent a generic letter stating the inquires were "" factual record of file access '' with not intent to assist me with the related inquiries below : XXXX XXXX- XX/XX/XXXX XXXX XXXX XXXX XXXX- XX/XX/XXXX XXXX XXXX-XX/XX/XXXX XXXX XXXX XXXX- XX/XX/XXXX XXXX XXXX- XX/XX/XXXX XXXX XXXX XX/XX/XXXX- XX/XX/XXXX XXXX XXXX- XX/XX/XXXX XXXX XXXX- XX/XX/XXXX XXXX XXXX- XX/XX/XXXX XXXX XXXX- XX/XX/XXXX XXXX XXXX XXXX-XX/XX/XXXX XXXX XXXX- XX/XX/XXXX XXXX- XX/XX/XXXX XXXX XXXX- XX/XX/XXXX XXXX XXXX XXXX XXXX/XXXX/XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX- XX/XX/XXXX I understand that credit bureaus are powerful corporations, but it is unfair for me as a consumer to suffer from a result of their negligence. I 'm interested in purchasing my first home in a shirt period of time, and I 'm pleading for your help to clear up this matter.",Credit reporting
"I have a loan modification thru Bank of America. The loan gradually increases in ( ARM ) until it is supposed to cap out at 4.5 % per the original loan documents. I have contact BofA numerous times, they are now sending me documents saying that the loan caps at 5 %. I have called them and asked them to correct this. They say I am right, it will cap out at 4.5 %, but yet they continue to send me documents and charge me amounts different than what my loan documents say my principal and interest is.",Mortgage
"My name is XXXX XXXX. I am a XXXX veteran that used my VA loan guaranteed to buy a house. I used wells Fargo for my loan. There were many mistakes made by wells Fargo regarding my loan and violations of the Truth In Lending Act and RESPA. I have filed 2 complaints to the CFPB. Congressman XXXX filed a complaint in my name. The Federal Reserve filed a complaint in my name, and the white house filed a complaint in my name. Those complaint numbers will be on the bottom of this response to Wells Fargos response that was sent. Multiple points on wells Fargos reports contain false information designed to conceal and fraud me and the CFPB and all associated persons or agencies. I will be addressing those concerns in this new complaint. I also ask that my issues be escalated to investigation by someone besides wells Fargo based on the facts contained in this response. 
Regarding Wind insurance required by Wells Fargo. In both reports by Wells Fargos Executive Resolution Specialists XXXX XXXX and XXXX XXXX admitted that wells Fargo was at fault for failure to disclose insurance requirements before the loan could close. XXXX stated in his report that the requirement for wind insurance was cleared incorrectly. On a phone call between myself and XXXX in which we both recorded XXXX says that they accidently clicked off the box requiring wind insurance. In the report provided by XXXX she mentions that it was their mistaken belief that wind insurance coverage was included in the homeowners insurance policy. This is a blatant lie as verification of home owners insurance states there is no wind insurance coverage. That means they had knowledge prior to closing that there was no wind insurance coverage, but they continued without regard to the customer. The reason I believe that if they disclosed wind insurance before and if they would have provided an estimate that my DTI ratio would have been over 50 % as it is now. 
Regarding forged documents there were multiple copies of my uniform residential loan application. Wells Fargo is using an out dated superseded document to determine my Debt to Income Ratio.  They have admitted and provided proof that they are using values off of a document dated XX/XX/XXXX. The values on the same form dated XX/XX/XXXX signed in person in front of a notary was the last URLA to be used and supersedes any previous URLA with an earlier date. It is not legal to use superseded paperwork as the current version when they provided both forms that were dated. Furthermore they knowingly continue to use the incorrect values as stated on that superseded document knowing that the form has been superseded by another. 
Regarding the DTI calculations. The values that were used to calculate my DTI ratio that were used in Wells Fargos report were falsely taken from an application dated XX/XX/XXXX when that application was superseded by another on XX/XX/XXXX and should never have been used. My legal liability values taken from the last signed application and before the undisclosed wind insurance were XXXX which equals to 43.32 %. When the missing wind insurance was added after closing the percent comes to 51.23 % in XX/XX/XXXX. Since wind insurance in my area has increased 19.23 % in XX/XX/XXXX the new and current DTI ration is 52.75. Wells Fargo has stated in their reports that a DTI of below 41 % is acceptable. The CFPB has laws and regulations that they follow to include stating that below 43 % DTI ratio is acceptable for lending. My DTI ratio was 43.32 % before the wind insurance was added and over 51 % after it was added after closing. This shows my loan and DTI where never acceptable for lending by both Wells Fargos standards and CFPB laws and regulations. The only reason my loan went through with this regard is that Wells Fargo knowingly used out dated superseded paperwork to commit fraud. 
Regarding the Appraisal report. When using a VA loan the appraiser must be a VA appraiser. Part of being a VA appraiser is knowing all VA policys regarding appraisal. They are required to make sure all Minimum Property Requirements are met. This included structural integrity of the house. The appraiser that was utilized marked no and adds upon the initial evaluation there were no adverse conditions noted that would affect the integrity of the property. This is false as a VA representative that came to my home and did a second report on my home because I filed a complaint. This person from the VA told me how to fix the structure damage myself and that if I have a company fix it. It would be very expensive and try to fix it myself. The appraiser knowingly lied about the damage and can be proven by the appraisal report. It shows pictures taken of the structural damage to the home in multiple pictures. The MPRs  were not satisfied in this report as they should have been resulting in my loan being approved when it should not have been. 

CFBP Complaint number : white house case number : XXXX XXXX XXXX XXXX XXXX XXXX",Mortgage
"I am trying to rent an apartment but XXXX XXXX apartments is showing that I owe them for an eviction.  When I called them regarding this issue, they told me to contact XXXX XXXX ( collection agency ). When I called the agency, they have nothing on file. I have tried to call XXXX XXXX several times since then but continue to get the run around. The last time I called, I was told that they no longer manage the apartments. So now I am stuck and need to know how to resolve this issue. According to the collection Agency, I do n't owe anything. I have tried to dispute with Transunion Rental Screenings but they refuse to remove.",Credit reporting
"I was XXXX from XX/XX/XXXX - XX/XX/XXXX and while XXXX  someone used my identity to open up a DISCOVER credit card on XX/XX/XXXX. The account charged off in the amount of {$720.00} and is still reporting negatively on my credit report. I have fought with DISCOVER & all 3 credit bureaus to try to resolve this issue since XX/XX/XXXX. To date XX/XX/XXXX they are still saying its verified as mine. This is so wrong. I'm a man trying to get my life back together and really did not do what they are claiming "" I '' did and its ruining my life. I keep getting denied for everything. I even sent proof of my final discharge paperwork. Please help me rectify this problem that is giving me XXXX XXXX",Credit reporting
"XXXX XXXX calls from Summit Receivables at least once-twice a week. I do n't know what this debt is, but I receive calls from an unknown number from her and then XXXX from her XXXX on XXXX XXXX from a XXXX number XXXX and XXXX from her on XXXX XXXX from a XXXX number XXXX. In all the messages she leaves she says, "" I 'm calling in regards to a file we have in your office ... ..trying to reach you in reference to this file. '' The message is very vague and then she wants me to call her at XXXX which is not the number she calls me from.",Debt collection
"( I have dates later on/for recent events but as issues started in XXXX, I am really unsure of the start dates. ) As I can show through documents, they have been reporting I 'm paying XXXX $ on my Navient Account History private loan/Tuition Answer statement. However, in my bank statements from XXXX XXXX and XXXX XXXX ( and for who knows how long prior -- I 'm working on getting those statements ), they 've been taking XXXX $ out. The bank shows the XXXX taken out on XXXX/XXXX/XXXX and XXXX/XXXX/XXXX and Navient shows the XXXX $ taken out/posted on XXXX/XXXX/XXXX & XXXX/XXXX/XXXX. Also, the amount going towards principal varies in ways that do n't make sense. I realize that the amount can changed based on how much is owed. However, in XXXX of XXXX, XXXX of the XXXX went to principal ; XXXX/XXXX/XXXX XXXX towards principal of the XXXX ; XXXX/XXXX/XXXX an unknown adjustment of XXXX cents added to principal balance ; XXXX/XXXX/XXXX XXXX paid to principal of the XXXX payment ; XXXX/XXXX/XXXX XXXX paid to principal of XXXX ; XXXX/XXXX/XXXX XXXX towards principal of XXXX payment ; XXXX/XXXX/XXXX XXXX to principal of XXXX. Should n't the amount going to principal go up or at least remain consistent if the loan is n't going up and payments are posting on the same days each month? I have not called the company on this particular issue yet because I want to document how long this has been happening with an outside source first. I do not trust that left to handle it on their own, they would do so in an appropriate manner. I have attempted to address other issues simply to find myself on hold and with little clarification on issues. ( I also can not log in as myself -- it says I am disabled from it but my husband ( co-signer ) can log in. This tends to be a running theme. ) This is particularly true because prior to entering into the for-profit world, I found them difficult in terms of repayment options. This student loan is a private one that I took out while waiting for federal options to become available. The loan is significantly higher than when I started. I had a lot of trouble getting the payments lowered and was instructed more than once that my only option was pay the full payment amount at a high interest rate or forebearance. At one point, I was told the only way to get my interest rate lowered was to stop making payments ( to get a program that would be much like a mortgage relief loan but turned out to be a reduced interest program whose structure I still do not understand. ) The forebearance 's caused unpaid interest to capitalize ; which I was made aware of. Anyway, in XXXX I left non-profit and started making full payments. Now, I am finding that I am still not consistently paying on the principal and that they are taking out more than what they are showing as applied. I am working on going back to XXXX to see if they were taking out more than is reporting on the Navient website/account history for longer than the last 2 months. Where did the extra XXXX $ a month go?",Student loan
"I recently received a notification from the credit bureau of a collections account from Receivables Performance reporting negatively on my credit report. I contacted the collections company to inform them that I never received documentation of this debt and balance was paid in full once left XXXX XXXX XXXX. I have attempted to contact the original debtor but to no avail. XXXX XXXX with Receivables Performance acknowledged the address on their file was incorrect and was not their responsibility to obtain correct information once the notice have been mailed once. Lastly, the company recently sent a email with my personal identifying information regarding this debt which they never received my consent. At this time, I am feeling threatened and intimidated to forcefully pay something that is not accurate.",Debt collection
